time,open,high,low,close,volume,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2023-12-19,24.72,24.92,24.52,24.92,90067,24.78649274965493,24.694069201293416,0.09242354836151279,0.1278792866851847,-0.03545573832367191
2023-12-20,25.11,25.21,24.82,25.02,61620,24.82241694201571,24.71821222341983,0.10420471859588076,0.12314437306732391,-0.01893965447144315
2023-12-21,25.02,25.02,24.33,24.92,114220,24.83742972016714,24.73315946612947,0.10427025403766876,0.11936954926139288,-0.015099295223724121
2023-12-22,24.92,25.02,24.62,24.62,157326,24.80397899398758,24.724777283453214,0.07920171053436675,0.11133598151598766,-0.0321342709816209
2023-12-25,24.62,24.92,24.52,24.92,140600,24.821828379527954,24.739238225419644,0.08259015410830983,0.1055868160344521,-0.02299666192614226
2023-12-26,25.11,25.11,24.82,24.92,87641,24.836931705754424,24.75262798649967,0.084303719254752,0.10133019667851208,-0.01702647742376008
2023-12-27,25.02,25.11,24.92,24.92,100901,24.849711443330666,24.76502591342562,0.08468552990504463,0.09800126332381859,-0.013315733418773956
2023-12-28,24.92,25.11,24.92,24.92,174305,24.86052506743364,24.776505475394092,0.08401959203954945,0.09520492906696476,-0.01118533702741531
2023-12-29,25.11,25.21,24.92,24.92,100800,24.869675057059236,24.787134699438976,0.08254035762026035,0.09267201477762388,-0.010131657157363527
2024-01-02,25.02,25.11,24.13,24.52,628895,24.81587889443474,24.767346943924977,0.04853195050976211,0.08384400192405153,-0.03531205141428942
2024-01-03,24.52,24.82,24.52,24.72,134650,24.801128295290933,24.763839762893497,0.03728853239743657,0.07453290801872854,-0.03724437562129197
2024-01-04,24.72,25.21,24.72,24.72,319015,24.788647019092327,24.760592373049533,0.028054646042793507,0.06523725562354153,-0.037182609580748024
2024-01-05,24.82,25.02,24.82,24.92,81937,24.8088551700012,24.772400345416234,0.03645482458496474,0.059480769415826175,-0.023025944830861435
2024-01-08,24.92,25.7,24.92,25.6,390032,24.930569759231783,24.83370402353355,0.09686573569823409,0.06695776267230776,0.029907973025926335
2024-01-09,25.7,25.7,25.31,25.41,188530,25.00432825781151,24.876392614382915,0.12793564342859298,0.0791533388235648,0.04878230460502818
2024-01-10,25.41,25.41,24.92,25.02,143789,25.006739295071277,24.8870301985027,0.11970909656857742,0.08726449037256732,0.0324446061960101
2024-01-11,25.21,25.6,24.92,25.51,194760,25.084164018906467,24.933176109724723,0.15098790918174387,0.10000917413440263,0.05097873504734124
2024-01-12,25.51,25.51,24.92,25.11,154058,25.088138785228548,24.94627417567104,0.14186460955750846,0.1083802612190238,0.033484348338484654
2024-01-15,25.11,25.31,24.62,24.62,138307,25.016117433654927,24.922105718213924,0.09401171544100251,0.10550655206341955,-0.011494836622417043
2024-01-16,24.62,25.02,24.43,25.02,153902,25.01671475155417,24.929357146494375,0.08735760505979329,0.1018767626626943,-0.014519157602901012
2024-01-17,24.92,26.09,24.92,25.41,391258,25.07722017439199,24.964960320828126,0.11225985356386303,0.10395338084292804,0.008306472720934988
2024-01-18,25.6,25.6,25.21,25.41,83622,25.128417070639376,24.997926222989005,0.13049084765037122,0.10926087420441669,0.021229973445954536
2024-01-19,25.41,25.7,25.11,25.21,161060,25.14096829054101,25.013635391656486,0.12733289888452504,0.11287527914043835,0.014457619744086686
2024-01-22,25.21,25.51,25.02,25.31,136047,25.166973168919316,25.035588325607858,0.1313848433114586,0.1165771919746424,0.014807651336816205
2024-01-23,25.31,25.31,25.02,25.31,95676,25.18897729677788,25.055915116303574,0.13306218047430818,0.11987418967457555,0.013187990799732624
2024-01-24,25.41,25.8,25.31,25.41,441886,25.222980789581285,25.082143626207014,0.14083716337427177,0.1240667844145148,0.01677037895975697
2024-01-25,25.51,25.6,25.41,25.51,151411,25.267137591184166,25.11383669093242,0.1533009002517467,0.1299136075819612,0.02338729266978551
2024-01-26,25.51,25.6,25.41,25.51,117504,25.304501038694294,25.14318212123372,0.16131891746057292,0.13619466955768353,0.02512424790288939
2024-01-29,25.6,25.8,25.51,25.51,191050,25.336116263510558,25.17035381595715,0.16576244755340852,0.14210822515682853,0.023654222396579994
2024-01-30,25.51,25.7,25.31,25.7,126555,25.392098376816627,25.20958686662699,0.18251151018963796,0.1501888821633904,0.03232262802624755
2024-01-31,25.8,26.59,25.51,25.51,396658,25.410237088075608,25.231839691321287,0.17839739675432043,0.1558305850815764,0.02256681167274402
2024-02-01,25.51,25.9,25.51,25.8,140315,25.470200612987053,25.273925640112303,0.19627497287475038,0.1639194626402112,0.03235551023453917
2024-02-02,25.9,26.19,25.9,25.9,134230,25.53632359560443,25.320301518622504,0.21602207698192544,0.17433998550855406,0.041682091473371374
2024-02-05,25.9,26.0,25.11,25.6,256615,25.54611996551144,25.341019924650467,0.2051000408609731,0.18049199657903786,0.02460804428193525
2024-02-06,26.29,26.29,25.51,25.51,349910,25.54056304774045,25.35353696726895,0.18702608047149738,0.18179881335752976,0.005227267113967621
2024-02-07,25.7,26.09,25.6,26.09,128502,25.625091809626532,25.408089784508288,0.2170020251182443,0.18883945570967267,0.02816256940857162
2024-02-15,26.09,26.39,25.6,25.8,534795,25.65200076199168,25.43712017084101,0.2148805911506706,0.19404768279787227,0.02083290835279833
2024-02-16,25.8,26.0,25.7,25.8,208601,25.67476987553142,25.46400015818612,0.21076971734530048,0.19739208970735792,0.013377627637942563
2024-02-19,26.49,26.49,25.51,25.9,348992,25.709420663911203,25.496296442764926,0.21312422114627694,0.20053851599514172,0.012585705151135218
2024-02-20,25.9,26.49,25.9,26.19,500854,25.783355946386404,25.547681891449006,0.23567405493739813,0.207565623783593,0.028108431153805125
2024-02-21,26.19,26.39,25.8,26.19,254330,25.845916570019266,25.595261010600932,0.25065555941833395,0.2161836109105412,0.034471948507792755
2024-02-22,26.19,26.19,25.9,25.9,218550,25.85423709770861,25.617834269074937,0.2364028286336719,0.22022745445516734,0.016175374178504565
2024-02-23,25.9,26.19,25.02,25.21,455661,25.75512369806113,25.587624323217533,0.16749937484359734,0.20968183853285333,-0.04218246368925599
2024-02-26,25.21,26.0,25.11,25.9,310282,25.77741235989788,25.610763262238457,0.16664909765942326,0.20107529035816732,-0.03442619269874406
2024-02-27,26.09,26.09,25.7,25.9,281320,25.79627199683667,25.632188205776348,0.164083791060321,0.19367699049859805,-0.02959319943827704
2024-02-28,26.0,26.19,25.7,25.9,171868,25.81223015116949,25.65202611645958,0.16020403470990985,0.18698239934086042,-0.02677836463095057
2024-02-29,25.9,26.98,25.9,26.98,1238411,25.99188705098957,25.75039455227739,0.24149249871218004,0.19788441921512434,0.043608079497055696
2024-03-01,26.98,27.96,26.98,27.66,751688,26.24851981237579,25.891846807664248,0.35667300471154206,0.22964213631440789,0.12703086839713418
2024-03-04,27.66,28.45,27.66,27.66,506510,26.465670610471822,26.022821118207638,0.4428494922641839,0.2722836075043631,0.17056588475982082
2024-03-05,27.47,28.65,27.17,28.45,630872,26.770952055014618,26.202612146488555,0.5683399085260632,0.3314948677087031,0.23684504081736008
